"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"New York State Office of Mental Health","NY","Healthcare Provider","563","04/10/2015","Loss","Laptop","No",""
"Suburban Lung Associates","IL","Healthcare Provider","2984","04/13/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Concordia Plan Services on behalf of the Concordia Health Plan","MO","Health Plan","12500","04/16/2015","Hacking/IT Incident","Network Server","No",""
"American Sleep Medicine","CA","Healthcare Provider","1787","04/16/2015","Theft","Other","No","The covered entity (CE), American Sleep Medicine of San Diego, California  reported a breach of 1,787 individuals’ electronic protected health information (ePHI), as a result of a stolen backup computer hard drive. The hard drive contained names, birthdates, medical histories, physicians' names, and study results.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE improved physical safeguards, conducted a new security analysis, revised policies and procedures, and trained its workforce.  As a result of OCR’s investigation OCR provided technical assistance regarding the HIPAA Security Rule.






"
"Jersey City Medical Center","NJ","Healthcare Provider","1447","04/17/2015","Unauthorized Access/Disclosure","Email","No",""
"Puerto Rico Department of Heatlh - Medicaid Program","","Health Plan","500","04/22/2015","Theft","Desktop Computer","No",""
"CompuNet Clinical Laboratories","OH","Healthcare Provider","2584","04/23/2015","Loss","Paper/Films","No","On March 17, 2015, the covered entity (CE) learned that a box containing health insurance claim forms was damaged by a Federal Express (FedEx) hub in Memphis, Tennessee. The protected health information (PHI) involved in the breach included the names, addresses, dates of birth, genders, diagnosis codes, procedure codes, insurance identification numbers, and some social security numbers of 2,584 individuals.  Through retained legal counsel the CE investigated the incident to determine what and how many forms were missing, and to retrieve as many missing forms as possible.  The CE provided breach notification to HHS, affected individuals, and the media, and offered one year of credit protection to affected individuals.  Additionally, the CE decreased the size of batch mailings to limit the potential size of a data breach associated with a lost or damaged box.   OCR obtained assurances that the corrective actions were taken."
"Saint Agnes Health Care, Inc.","MD","Healthcare Provider","24967","04/24/2015","Hacking/IT Incident","Email","No",""
"Seton Family of Hospitals","TX","Healthcare Provider","39000","04/24/2015","Hacking/IT Incident","Email","No",""
"Wellmont Health System","TN","Healthcare Provider","1726","04/24/2015","Improper Disposal","Other, Paper/Films","No","On March 1, 2015, the covered entity (CE), Wellmont Health System, discovered that one of its employees had disposed of hand-written notes containing protected information (PHI) for 1,726 individuals at a local recycling center.  The types of PHI involved in the breach included demographic and clinical information.  The employee voluntarily resigned from her position.  The CE provided breach notification to HHS, to affected individuals, to the media, and on its website.   In response to the breach, the CE retrained its workforce to emphasize the importance of safeguarding and properly disposing of PHI.  In addition, the CE reported that employees now utilize laptops and other mobile devices to create notes in patient records, making paper notes virtually nonexistent.  OCR obtained assurances that the CE implemented the corrective actions listed above.  "
"Community Mercy Health Partners","OH","Healthcare Provider","2000","04/27/2015","Unauthorized Access/Disclosure","Paper/Films","No","An individual was accidently sent the invoices of numerous patients of the covered entity (CE) due to human error after guarantor information on an institutional account was inadvertently changed to an individual patient.  The protected health information (PHI) involved in the breach included the demographic, financial, and clinical information of 1,999 individuals. The CE provided breach notification to HHS, affected individuals, and the media.  To prevent a future similar occurrence, the covered entity re-educated its patient access/registration staff and began revising processes for institutional payers.  OCR reviewed the CE’s relevant HIPAA policies and procedures and obtained assurances that the CE implemented the corrective actions listed above.

"
"CEMEX, Inc.","TX","Health Plan","880","04/27/2015","Hacking/IT Incident","Network Server","No",""
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider","864","04/28/2015","Loss","Paper/Films","No","The covered entity (CE), Clinical Reference Laboratory, Inc. sent a parcel to Massachusetts Mutual Life that was opened and damaged during the mailing process by the United States Postal Services (USPS).  The damaged parcel contained the protected health information (PHI) of approximately 864 individuals, including names, partial and full social security numbers, dates of birth, and clinical test codes.  OCR received two other breach reports from the CE which involved the same or similar fact patterns as the breach report for this case.  OCR consolidated these investigations into one breach compliance review.  The CE investigated the breaches and concluded that the likelihood of misuse or further disclosure of the PHI was remote since the USPS confirmed that all unmatched pages were segregated and shredded.  The CE provided breach notification to HHS, affected individuals, and notified appropriate authorities required by each jurisdiction that included an affected individual.  The CE also offered affected individuals a free two-year subscription to credit monitoring services and credit report controls.  Following the breach, the CE appointed a new privacy officer, who was required to complete HIPAA training, and verified that its workforce received HIPAA-related training.  The CE also implemented a new breach reporting procedure and initiated the implementation of a secure online portal for clients to obtain PHI electronically.  OCR obtained documentation evidencing that the CE implemented the corrective actions listed.  "
"University of Illinois at Chicago","IL","Healthcare Provider","3000","04/28/2015","Theft","Laptop","No","A physician’s assigned laptop computer containing the electronic protected health information (ePHI) of approximately 3,000 individuals was stolen. The type of ePHI involved in the breach included diagnoses and conditions of the individuals. The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE updated relevant HIPAA policies, including encryption, to ensure the safeguarding of ePHI and sanctioned the physician involved.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The CE also notified the deans and directors of all the CE’s healthcare components of the corrective actions taken in response to this incident."
"Consolidated Tribal Health Project, Inc. ","CA","Healthcare Provider","4885","04/28/2015","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device","No",""
"Bellevue Hospital Center","NY","Healthcare Provider","3334","04/28/2015","Unauthorized Access/Disclosure","Email","No",""
"Jacobi Medical Center","NY","Healthcare Provider","90060","04/28/2015","Unauthorized Access/Disclosure","Email","No",""
"County of Los Angeles ","CA","Healthcare Provider","880","04/29/2015","Theft","Paper/Films","No","The covered entity (CE), County of Los Angeles, reported that on April 3, 2015, during the execution of a search warrant at the home of a an individual who was employed at the County Department of Health Services (DHS) LAC+USC Medical Center, Hawkins Mental Health Center (Hawkins), in a matter unrelated to County business, law enforcement discovered and seized items that contained confidential patient information for approximately 880 Hawkins patients, treated between 2011 and 2015.  The types of protected health information (PHI) involved in the breach included financial, demographic, and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE sanctioned the involved employee and terminated the employee’s electronic and information technology access, as well as physical access to DHS’ systems.  DHS provided in-service HIPAA training to Hawkins’ staff.  OCR obtained assurances that the CE implemented the corrective actions listed.  The employee resigned following the breach incident."
"Partners HealthCare System, Inc.","MA","Healthcare Provider","3321","05/01/2015","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1138","05/01/2015","Loss","Paper/Films","No","On March 4, 2015, the covered entity (CE), Walgreens Pharmacy, reported that it discovered its pharmacy paper log in Stafford, Texas was missing. The approximate number of individuals affected by the breach was 1,138. The protected health information (PHI) involved in the breach included patients’ prescription numbers, first and last names, dates of birth, addresses, photo identification types, and the number of individuals who picked up prescriptions. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE re-trained its pharmacy staff and communicated to them the importance of safeguarding patient information. OCR obtained documentation which showed that the CE implemented the corrective actions listed."
"Ventura County Health Care Agency","CA","Healthcare Provider","1339","05/06/2015","Loss","Paper/Films","No","The covered entity (CE), Ventura County Health Care Agency, discovered that a backpack containing documents for 1,399 patients was left at an elementary school after it was stolen from an employee’s car.  All of the files were intact, and the types of protected health information (PHI) involved in the breach included names, balances owed, and internal account numbers.   The CE provided breach notification to HHS, affected individuals, and the media and posted notice on its website,  In response to the breach, the CE sanctioned the workforce member in question and retrained staff.  The CE also provided OCR with additional documentation, specifically its HIPAA Notice of Privacy Practices Policy, as relevant to this breach investigation.  Additionally, the CE provided OCR with written assurance that it provided refresher reminders to all staff members about its HIPAA Privacy policies and procedures."
"Unity Recovery Group, Inc.,Starting Point Detox LLC, Lakeside Treatment Center LLC, Changing Tides Transitional Living LLC, Unity Recovery Center, Inc","FL","Healthcare Provider","1000","05/11/2015","Unauthorized Access/Disclosure","Email, Network Server, Other Portable Electronic Device","No","Unity Recovery Group, Inc. (Unity) shared patient information with other covered entities for continuation of substance abuse treatment.  It erroneously believed this practice to be an impermissible disclosure and filed a breach report with HHS.  After OCR determined that no breach had occurred, OCR provided technical assistance to Unity regarding permissible disclosures for treatment purposes, the difference between “consent” and “authorization” under HIPAA, the definition of a breach of protected health information, when notification must be provided, and when notification is not required.  Further, Unity and its affiliates permanently closed on December 31, 2015 with no intention to resume future operations in the same legal entity name."
"UPMC","PA","Healthcare Provider","2259","05/15/2015","Theft","Other","No","A business associate (BA) employee disclosed the protected health information (PHI) of approximately 2,259 of the covered entity’s (CE) patients to outside parties.  The PHI involved in the breach included names, dates of birth, and social security numbers.  Following the breach, the CE terminated its relationship with the BA.  OCR reviewed the CE’s risk analysis to ensure compliance with the Security Rule.  
 
"
"Medical Management, LLC (MML)","NC","Business Associate","20512","05/15/2015","Theft","Other","Yes","Medical Management LLC provides billing services as a business associate (BA) for more than 30 medical facilities in various states, with BA agreements in place for each covered entity (CE).  On March 16, 2015, the IRS notified the BA that one of its employees was involved in an identity theft ring.  The employee confessed to the activity and was terminated.  The BA determined that, during her employment, the employee had access to 30,556 patient’s records containing protected health information (PHI), including demographic information (names, dates of birth and social security numbers).  The BA notified each CE of the breach, established a call center, sent letters to the potentially affected individuals on behalf of its CEs, offered credit monitoring and ID theft protection, sent media notice to 12 newspapers, and notified HHS.  In response to the breach, the BA upgraded to an improved billing system with more security controls, masked social security numbers where appropriate, and retrained its staff.  In addition, the BA implemented software for tracking and monitoring access and user activity, which is monitored by IT staff, in order to identify any abnormal access.  OCR obtained assurances that the BA implemented the corrective actions listed above."
"Duke LifePoint Conemaugh Memorial Medical Center","PA","Healthcare Provider","1551","05/15/2015","Theft","Desktop Computer","No","An employee of the covered entity’s (CE) business associate (BA), Medical Management, LLC (“MML”), disclosed the demographic information of 1,551 of the CE’s patients to outside parties.  The protected health information (PHI) involved in the breach included names, dates of birth, and social security numbers.  Following the breach, the CE assisted the BA in responding to the breach and notifying affected individuals.  Additionally, OCR reviewed the CE’s risk analysis to ensure compliance with the Security Rule"
"The MetroHealth System","OH","Healthcare Provider","981","05/15/2015","Hacking/IT Incident","Desktop Computer","No",""
"Aflac","GA","Health Plan","6166","05/15/2015","Unauthorized Access/Disclosure","Paper/Films","No","Some of the covered entity’s (CE) policyholders erroneously received welcome packets in the mail that contained the protected health information (PHI) of other individuals on a summary page.  The breach affected 6,166 individuals and the types of PHI involved in the incident included policyholders’ names, coverage applied for, premium amounts, whether the applicant was a new employee, codes or names representing employees’ departments, and denial or acceptance of insurance coverage.  In response to the breach, the CE updated its privacy and security procedures, which included updating its mailing process. The CE installed new printer software on all IT quality assurance (QA) desktops and on additional machines located in the IT QA lab.  The CE also purchased and installed new local printers that will allow IT testers and coders to confirm packet accuracy. The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained assurances that the CE implemented the corrective actions listed above.  "
"Associated Dentists","MN","Healthcare Provider","4725","05/18/2015","Theft","Laptop","No",""
"Alexian Brothers Medical Center","IL","Healthcare Provider","632","05/19/2015","Unauthorized Access/Disclosure","Desktop Computer","No","On April 13, 2015, several files containing electronic protected health information (ePHI) were discovered on computers accessible to the public in the medical library at the covered entity (CE), Alexian Brothers Medical Center.  The files included the first and last names, medical record numbers, and medication information related to 618 patients, and other clinical information for 14 patients. Approximately 632 individuals were affected by this breach.  The CE provided breach notification to HHS, affected individuals, and the media. Following the breach the CE posted signs noting that the computers were “public computers” and not to save files on the device, secured computers so that no data could be saved onto the virtual desktop or the hard drive, and essentially rendered folders as “read only”.  The CE also implemented a process to track user access on all but one of the public computers.  The CE retrained workforce groups involved in the breach.  OCR obtained documented assurances that the CE implemented the corrective actions listed above."
"Sharon J. Jones, M.D.","CA","","1342","05/19/2015","Theft","Desktop Computer, Laptop, Paper/Films","Yes","A burglar broke into the office of the covered entity (CE) and stole 17 paper patient charts, an unencrypted desktop computer, two unencrypted laptop computers, and one encrypted computer server.  The breach affected approximately 1,342 individuals’ protected health information (PHI) and included demographic, financial, and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  It also established a dedicated call center to answer questions related to the incident and offered free credit monitoring to the affected individuals.  Following the breach, the CE moved to a more secure locale and completed risk analyses in July 2015 and February 2016. The CE implemented a risk mitigation plan to reflect the current work environment, updated its policies and procedures on  mobile devices, enhanced physical security, and trained workforce members on security awareness.  OCR provided technical assistance regarding the HIPAA Security Rule and obtained assurances that the CE implemented the corrective actions listed above."
"Success 4 Kids & Families, Inc.","FL","Healthcare Provider","506","05/20/2015","Theft","Laptop","No","On April 5, 2015, a Success 4 Kids & Family employee’s laptop computer was stolen out of his vehicle while parked during non-work hours. The laptop contained the protected health information (PHI) of 506 individuals, and included clients’ names, addresses, dates of birth, social security numbers, and limited treatment-related information. The laptop was password protected, but was not encrypted.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website.  In response to this incident, the CE contracted with an IT vendor to upgrade servers and provide cloud backup service, encrypted all computers, reviewed its policies and procedures, implemented an encryption policy, and trained staff.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"CareFirst BlueCross BlueShield","MD","Health Plan","1100000","05/20/2015","Hacking/IT Incident","Network Server","No",""
"Thomas H. Boyd Memorial Hospital","IL","Healthcare Provider","8300","05/21/2015","Unauthorized Access/Disclosure","Paper/Films","No","A facility where the covered entity (CE) had stored its medical records since 1994 was sold to a third party and possession of this property was given to the new owner for five days, unbeknownst to the CE.  The protected health information (PHI) involved in the breach included the clinical, demographic and financial information of 8,300 individuals.  Upon discovery of the breach, the CE immediately retrieved all records at the facility.  There was no evidence that the records were otherwise compromised.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE retrained employees on its revised policies and procedures, including the proper storage of PHI and distribution of its revised policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed.  
     
"
"Beacon Health System","IN","Healthcare Provider","306789","05/22/2015","Hacking/IT Incident","Email","No",""
"University of Rochester Medical Center & Affiliates","NY","Healthcare Provider","3403","05/22/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"BUFFALO HEART GROUP","NY","Healthcare Provider","567","05/28/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Metropolitan Hospital Center","NY","Healthcare Provider","3957","06/01/2015","Unauthorized Access/Disclosure","Email","No",""
"Oregon's Health CO-OP","OR","Health Plan","14000","06/01/2015","Theft","Laptop","No","A personal laptop belonging to an Oregon Health CO-OP's employee was stolen from his unattended, locked car.  The laptop was unencrypted and contained the electronic protected health information (ePHI) of approximately 14,000 individuals.  The e-PHI involved in the breach was demographic information and included names, addresses, social security numbers, dates of birth, health plan identification numbers, and health plan numbers.  Following the breach, the covered entity (CE) sanctioned the employee, implemented additional technical safeguards to prevent the downloading of e-PHI onto a personal electronic device, and trained its employees on these technical safeguards.  OCR provided the CE with technical assistance regarding risk analysis and risk management implementation. "
"Rite Aid Corporation","PA","Healthcare Provider","2345","06/03/2015","Theft","Other, Paper/Films","No","On April 27, 2015, rioters in Baltimore, MD broke into, vandalized, and looted eight locations of the covered entity (CE), Rite Aid, taking 2,345 filled prescriptions.  The “will-call” prescriptions involved in the breach contained patients’ names, addresses, and medication names.  The CE provided breach notification to HHS, the media, and affected individuals and offered credit monitoring.  All of the vandalized locations, except the one that was burned, have been re-opened with full security restored.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Gallant Risk & Insurance Services, Inc.","CA","Business Associate","995","06/03/2015","Theft","Laptop","Yes","On April 4, 2015, laptop computers belonging to the business associate (BA), Gallant Risk & Insurance Services, Inc., were stolen due to an office break-in. The breach affected 995 individuals’ protected health information (PHI), including a combination of individuals’ names, addresses, dates of birth, social security numbers, group policy numbers, and insurance identification numbers. The BA reported the incident to local law enforcement and to the affected covered entities. In response to OCR’s investigation, the BA ensured the proper breach notifications were provided, increased physical security, increased technical safeguards for electronic PHI (such as utilizing additional encryption), and adopted HIPAA policies and procedures. OCR obtained documented assurances that the BA implemented these corrective steps.. "
"Lancaster County EMS","SC","Healthcare Provider","50000","06/04/2015","Improper Disposal","Other Portable Electronic Device","No","A safe containing two unencrypted computer flash drives and two unencrypted hard drives went missing from the administration building of covered entity (CE), Lancaster County EMS.  The protected health information (PHI) stored on the missing hard drives and flash drives included patients' names, addresses, dates of birth, social security numbers, medications, medical histories, medical treatment, and healthcare insurance information for 55,000 individuals. The CE provided breach notification to HHS, the 55,000 affected individuals, and the media.  In response to the breach, the CE implemented universal controls to ensure that only the CE's devices can connect to its network.. The CE also implemented security controls and physical safeguards to further restrict access to its server room.  In addition, the CE implemented  video security system monitoring of its server room. OCR obtained assurances that the CE implemented the corrective actions listed above.  "
"Stanislaus Surgical Hospital","CA","Healthcare Provider","1170","06/04/2015","Theft","Desktop Computer, Other Portable Electronic Device, Paper/Films","No","On April 4, 2015, two paper binders containing the protected health information (PHI) of up to 1,166 individuals were stolen from one of the covered entity’s (CE) facilities along with several other items that did not contain PHI.  The type of PHI involved in the breach was financial information.  The CE filed a formal police report and police identified two potential suspects.   The CE provided breach notification to HHS, affected individuals, and the media and offered credit monitoring to all individuals affected.  Following the breach, the CE improved physical security for the facility and the locked file cabinets that contain PHI and updated security procedures for employees’ access to the premises.  It also converted its payment system to a paperless, all electronic system and implemented an encryption requirement for all information that is stored on a shared drive.  The CE also trained all employees on the changes to its security policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Fred Finch Youth Center","CA","Healthcare Provider","6871","06/05/2015","Theft","Network Server, Other","No",""
"Truman Medical Center, Incorporated","MO","Healthcare Provider","503","06/09/2015","Unauthorized Access/Disclosure","Other","No","An employee of the covered entity (CE), Truman Medical Center, found a list of patients on the internet.  The list contained names, addresses, and internal identification numbers for 503 of the CE's patients.  The CE determined that the list was posted to a file transfer protocol (FTP) site by the public relations department and was a mailing list used to notify patients that a clinic was moving to a new location.  The list was available on the internet from September 2012 until March 2015.  The CE provided breach notification to HHS, affected individuals and the media, and provided substitute notice on its website.  Following the breach, the CE immediately removed and deleted the patient list from FTP site and reviewed the other information posted on the site.  The CE improved safeguards by enabling the public relations employees to send encrypted emails and providing instructions on how to use secure email.   The CE also required additional training for workforce members in the public relations department.  OCR obtained written assurances that the CE implemented the corrective actions listed above."
"Keystone Pharmacy, Inc.","MD","Healthcare Provider","500","06/09/2015","Unauthorized Access/Disclosure","Other, Paper/Films","No","On April 27, 2015, rioting broke out in Baltimore, MD and the covered entity (CE), Keystone Pharmacy, was broken into, vandalized and looted.  Multiple prescriptions and stock bottles of narcotics were taken. About 150 prescription bags containing patient names and the medications were stolen.  The types of protected health information (PHI) contained on the prescriptions included names, addresses, and prescription information.  The CE provided breach notification to HHS, affected individuals, and the media, and offered credit monitoring.  The location was immediately secured.  The CE installed a new front door and upgraded the security system.  OCR obtained assurances that the CE implemented the corrective actions listed.  "
"California Physicians' Service d/b/a Blue Shield of California","CA","Health Plan","843","06/09/2015","Unauthorized Access/Disclosure","Network Server","No","On May 18 2015, the covered entity (CE), Blue Shield of California, discovered that several authorized users who logged into their accounts were able to access the protected health information (PHI) of individuals who were not affiliated with their line of business due to a faulty update to the restricted web portal.  The PHI of 843 individuals was affected and included names, addresses, birthdates, social security numbers, and other identifiers. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE disabled the portal, deployed a patch code to correct the problem, and improved the code testing process. The CE also sanctioned the developer who failed to follow the code merge process.  OCR reviewed the CE’s HIPAA Notice of Privacy Practices Policy, as relevant to this breach investigation, and obtained assurances that the CE implemented the corrective actions listed above.  

"
"United Seating and Mobility, LLC d/b/a Numotion","CT","Healthcare Provider","2722","06/10/2015","Theft","Laptop","No","On March 26, 2015, a break-in occurred at the Tacoma, Washington branch office of Numotion, the covered entity (CE). The items stolen included five laptop computers that accessed service work orders, quotes, labor guides and delivery checklists. The breach affected 2,722 individuals' protected health information (PHI) and included names, addresses, phone numbers, and the serial numbers of customer equipment.  Some documents may have also contained dates of birth, insurance policy numbers, or diagnosis codes. The stolen laptops required a password to obtain access to information.  The CE provided breach notification to HHS, affected individuals, and the media.  It also offered affected customers one year of free credit monitoring. The CE  was able to successfully wipe the data from two of the computers via remote access. As a result of this investigation, the CE updated its password policy and completed full disk encryption of computer hard drives in all its locations.  OCR provided technical assistance to the CE on conducting a compliant Security Rule risk analysis."
"Implants, Dentures & Dental","NV","Healthcare Provider","12000","06/10/2015","Theft","Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device","No","Implants, Dentures and Dental, Inc., the covered entity (CE), reported that on June 8, 2015, its computer server was removed from its facility without its consent.  The CE reported that it worked with law enforcement to investigate the incident.  The server contained the electronic protected health information (ePHI) of approximately 12,000 individuals.  The types of ePHI involved in this incident included digital x-rays, demographic, financial, and clinical information.  Following the removal of the server, the CE's employees were unable to access practice management software.  In response to the incident, the CE reported that it adopted encryption technologies, changed passwords, and strengthened password requirements.  Additionally, the CE revised its business associate (BA) contracts, as the removal of the server was related to a complicated BA arrangement.  The CE also reported that it implemented new technical safeguards, improved physical security, performed risk assessments, and provided workforce members and business associates with additional HIPAA training.  Following OCR’s investigation of the incident, the CE reported that it had closed its business.  OCR independently confirmed that the CE is no longer open for business. "
"The Department of Aging and Disability Services","TX","Health Plan","6600","06/11/2015","Unauthorized Access/Disclosure","Network Server","No",""
"National Seating & Mobility, Inc.","TN","Healthcare Provider","9627","06/12/2015","Theft","Email, Laptop, Paper/Films","No","On April 14, 2015, two unencrypted tablet computers, a smartphone, and a backpack containing paper files—were stolen from two company vehicles of the covered entity (CE), National Seating & Mobility, Inc.  The breach involved  the protected health information (PHI) of 9,627 individuals and included demographic, clinical and financial information.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website. In response to the breach, the CE revised its policies and procedures, encrypted its desktop, laptop and tablet computers and employed remote wiping and tracking technology.  OCR obtained assurances that the CE implemented the corrective actions listed above.  "
"Global Care Delivery, Inc.","TX","Business Associate","18213","06/12/2015","Theft","Laptop","Yes","Five password-protected, but unencrypted laptop computers were stolen from Global Care Delivery, a business associate (BA) of the covered entity (CE), North Shore LIJ Health System in September 2014.  The laptops contained the protected health information (PHI) of 18,213 individuals, including names, dates of birth, insurance identification numbers (which contained social security numbers), and diagnoses and/or treatment codes related to claims.  The BA notified police at the time of the incident, but did not notify the CE until May 11, 2015.  The BA retained Knoll, Inc. to assist with individual notification and provide call center services to answer questions from individuals impacted by the breach.  Breach notification was provided to HHS and affected individuals, and the BA offered complimentary one-year identity theft protection services.  The business relationship between the CE and BA ended effective May 11, 2015. The BA has closed its business."
"St. Martin Parish School Based Health Centers","LA","Healthcare Provider","3000","06/15/2015","Theft","Desktop Computer, Electronic Medical Record, Laptop","No","On June 15, 2015, St. Martin Parish School Based Health Centers reported a breach at one of its clinics, Cecilia School Based Health Center (CSBHS).  The covered entity (CE) experienced a breach of protected health information (PHI) affecting 3,000 individuals when four desktop computers, one laptop, a wireless router, and several printers were stolen during an office break-in on April 30, 2016.  The types of PHI involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, and procedure codes.   The CE provided breach notification to HHS, affected individuals, and the media.  As a result of this incident, the CE conducted a post-incident risk analysis and directed staff to change and update all passwords.  The CE also remotely disabled the login capability for each computer.   The CE improved physical security at the CSBHS facility.  In addition, the CE stated that no data is stored locally on its computers.  OCR obtained assurances from the CE that it implemented the corrective actions listed above."
"University of California Irvine Medical Center","CA","Healthcare Provider","4859","06/17/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Central Brooklyn Medical Group, PC","NY","Healthcare Provider","4223","06/19/2015","Unauthorized Access/Disclosure","Other","No","Between January 1, 2015 and April 18, 2015, a physician employed by the covered entity (CE), Central Brooklyn Medical Group, PC, impermissibly disclosed the protected health information (PHI) of approximately 500 patients to his former medical assistants via facsimile on multiple occasions.  On one occasion, the physician accidentally transposed digits in the intended facsimile number and disclosed the PHI of 88 patients to an unrelated third party.  The types of PHI involved in the breach included patients’ names, ages, sex, appointment dates, times and reasons for visits, treating physician’s names, and medical conditions.  The CE sent breach notification letters to 4,135 patients who had been scheduled to see the physician in the year prior to the breach because the CE could not identify which specific patients were affected; however, they were most likely within this group.  The CE also provided breach notification to HHS and the media.  Upon discovery of the breach, the CE confirmed the destruction of any PHI possessed by the unrelated third party and the medical assistant and sanctioned the physician.  The CE also retrained its workforce members regarding HIPAA compliance, including the CE’s policy regarding communications via facsimile.  OCR obtained assurances that the CE implemented the corrective actions listed above.  In addition, the CE reported the physician to the State Office for Professional Medical Conduct.  "
"Heartland Dental, LLC","IL","Business Associate","2860","06/24/2015","Hacking/IT Incident","Network Server","Yes",""
"Episcopal Health Services Inc. d/b/a St. John's Episcopal Hospital","NY","Healthcare Provider","509","06/25/2015","Theft","Electronic Medical Record","No","OCR opened an investigation of the covered entity (CE), Episcopal Health Services Inc., d/b/a St. John’s Episcopal Hospital, after it reported that its business associate's (BA) employee sold 509 patients' data to unknown persons.  The protected health information (PHI) included patients’ names, addresses, dates of birth, gender, email addresses, social security numbers, account numbers, dates of service, medications, insurance information, diagnoses, billing codes, and reasons for treatment.  The BA, Zotec Partners, LLC, d/b/a Medical Management LLC, also filed a separate breach report.  As a result of the breach, the BA transitioned to an improved billing system that offers more security controls, implemented software for tracking and monitoring access and user activity, and masked social security numbers from employees whose job duties do not require full access.  In addition, the BA conducted updated training on the Privacy and Security Rule standards for all employees.  OCR obtained assurances for this case that the BA implemented the corrective actions noted above and also opened a separate investigation of the BA."
"CVS Health","RI","Healthcare Provider","12914","06/26/2015","Theft","Desktop Computer","No",""
"Meritus Medical Center, Inc.","MD","Healthcare Provider","1029","06/26/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No","The covered entity (CE), Meritus Medical Center, reported that an audit revealed that a vendors’s employee (from Walgreens pharmacy) accessed the protected health information (PHI) of approximately 1,029 patients without a business need to do so.  The types of PHI potentially accessed included demographic information such as names, dates of birth, medical record numbers and, in some instances health insurance information or Medicare identification numbers, as well as clinical information.  The CE confirmed that it terminated the employee’s access to the electronic health record (EHR) and escorted the employee from the Meritus campus. The CE provided breach notification to HHS, the media, and affected individuals and offered credit monitoring.  The CE implemented a new system for implementing technical measures so that the vendor’s employees’ access is limited to a separate system that interfaces with the EHR and pulls only limited patient information specifically related to those patients receiving Walgreens’ services.  OCR obtained assurances that the CE implemented the corrective actions listed."
"UPMC Health Plan","PA","Health Plan","722","07/02/2015","Unauthorized Access/Disclosure","Email","No","An employee of the covered entity (CE), UPMC Health Plan, inadvertently sent an unsecure email with protected health information (PHI) to an incorrect, third-party email address.  The breach included the electronic PHI of 722 individuals and included names, dates of birth, member identification numbers, phone numbers, types of insurance, and members' primary care providers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE retrained staff members.  OCR reviewed UPMC Health Plan’s risk analysis to ensure compliance with the Security Rule and obtained assurances that the CE implemented the corrective actions listed above.  "
"Orlando Health","FL","Healthcare Provider","3421","07/02/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No","The covered entity (CE), Orlando Health, discovered during audit on May 27, 2015, that an employee was accessing protected health information (PHI) outside the scope of her employment.  The PHI contained the names, dates of birth and clinical records of 3,421 individuals.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice.  In response to the breach, the CE retraining employees. In addition, the CE offered credit monitoring to the affected individuals.  OCR obtained assurances that the CE implemented the corrective actions listed above.  Additionally,  the employee involved in the incident was terminated."
